Time,IL2,Rede,Bus,HIL0 digital input 29
0.033755,1.6320903,308.90488,400.0,1
0.033756,1.6327815,308.89062,400.0,1
0.033757,1.6345143,308.87616,400.0,1
0.033758,1.6371214,308.86194,400.0,1
0.033759,1.6389867,308.84747,400.0,1
0.03376,1.6390121,308.83325,400.0,1
0.033761,1.6381427,308.8188,400.0,1
0.033762,1.6369073,308.80453,400.0,1
0.033763,1.6357331,308.79007,400.0,1
0.033764,1.6349615,308.77585,400.0,1
0.033765,1.6348614,308.76163,400.0,1
0.033766,1.6356406,308.74716,400.0,1
0.033767,1.6374555,308.73294,400.0,1
0.033768,1.6400738,308.71848,400.0,1
0.033769,1.64202,308.70422,400.0,1
0.03377,1.6420292,308.68976,400.0,1
0.033771,1.6411504,308.67554,400.0,1
0.033772,1.6399095,308.66068,400.0,1
0.033773,1.6387311,308.64545,400.0,1
0.033774,1.6379546,308.6305,400.0,1
0.033775,1.6378474,308.6153,400.0,1
0.033776,1.6386158,308.60034,400.0,1
0.033777,1.6404153,308.58514,400.0,1
0.033778,1.642966,308.5702,400.0,1
0.033779,1.644917,308.55496,400.0,1
0.03378,1.6448501,308.54,400.0,1
0.033781,1.643898,308.52505,400.0,1
0.033782,1.6425844,308.50986,400.0,1
0.033783,1.6413331,308.4949,400.0,1
0.033784,1.6404822,308.47968,400.0,1
0.033785,1.6402984,308.46472,400.0,1
0.033786,1.6409875,308.44952,400.0,1
0.033787,1.6426648,308.43457,400.0,1
0.033788,1.6449713,308.41946,400.0,1
0.033789,1.6461803,308.40353,400.0,1
0.03379,1.6455023,308.38785,400.0,1
0.033791,1.6441197,308.37192,400.0,1
0.033792,1.6425242,308.3562,400.0,1
0.033793,1.6411119,308.34027,400.0,1
0.033794,1.640198,308.3246,400.0,1
0.033795,1.6400297,308.30865,400.0,1
0.033796,1.6407965,308.29297,400.0,1
0.033797,1.6424695,308.27704,400.0,1
0.033798,1.6449147,308.26135,400.0,1
0.033799,1.6458243,308.24567,400.0,1
0.0338,1.6452924,308.22974,400.0,1
0.033801,1.6440244,308.21402,400.0,1
0.033802,1.6425167,308.1981,400.0,1
0.033803,1.6411695,308.1824,400.0,1
0.033804,1.6403016,308.16647,400.0,1
0.033805,1.6401632,308.1504,400.0,1
0.033806,1.6409463,308.134,400.0,1
0.033807,1.6425388,308.1173,400.0,1
0.033808,1.6449336,308.1009,400.0,1
0.033809,1.6458137,308.08423,400.0,1
0.03381,1.645177,308.0678,400.0,1
0.033811,1.6438191,308.05115,400.0,1
0.033812,1.6422341,308.03473,400.0,1
