w,g1,f1
106.4,17.755,-72.189
106.41,17.753,-72.186
106.41,17.752,-72.182
106.42,17.751,-72.179
106.43,17.75,-72.175
106.44,17.748,-72.172
106.44,17.747,-72.168
106.45,17.746,-72.165
106.46,17.744,-72.161
106.47,17.743,-72.158
106.47,17.742,-72.154
106.48,17.741,-72.151
106.49,17.739,-72.147
106.5,17.738,-72.144
106.5,17.737,-72.14
106.51,17.736,-72.137
106.52,17.734,-72.133
106.52,17.733,-72.13
106.53,17.732,-72.126
106.54,17.731,-72.123
106.55,17.729,-72.119
106.55,17.728,-72.116
106.56,17.727,-72.112
106.57,17.726,-72.109
106.58,17.724,-72.105
106.58,17.723,-72.102
106.59,17.722,-72.098
106.6,17.721,-72.095
106.61,17.719,-72.091
106.61,17.718,-72.088
106.62,17.717,-72.084
106.63,17.716,-72.081
106.64,17.714,-72.077
106.64,17.713,-72.074
106.65,17.712,-72.07
106.66,17.71,-72.067
106.66,17.709,-72.063
106.67,17.708,-72.06
106.68,17.707,-72.056
106.69,17.705,-72.053
106.69,17.704,-72.049
106.7,17.703,-72.046
106.71,17.702,-72.042
106.72,17.7,-72.039
106.72,17.699,-72.035
106.73,17.698,-72.032
106.74,17.697,-72.028
106.75,17.695,-72.025
106.75,17.694,-72.021
106.76,17.693,-72.018
106.77,17.692,-72.014
106.78,17.69,-72.011
106.78,17.689,-72.007
106.79,17.688,-72.004
106.8,17.687,-72
106.8,17.685,-71.997
106.81,17.684,-71.993
106.82,17.683,-71.99
106.83,17.682,-71.986
106.83,17.68,-71.983
106.84,17.679,-71.979
106.85,17.678,-71.976
106.86,17.677,-71.972
106.86,17.675,-71.969
106.87,17.674,-71.965
106.88,17.673,-71.962
106.89,17.672,-71.958
106.89,17.67,-71.955
106.9,17.669,-71.951
106.91,17.668,-71.948
106.92,17.667,-71.944
106.92,17.665,-71.941
106.93,17.664,-71.937
106.94,17.663,-71.934
106.94,17.662,-71.93
106.95,17.66,-71.927
106.96,17.659,-71.923
106.97,17.658,-71.92
106.97,17.657,-71.916
106.98,17.655,-71.913
106.99,17.654,-71.909
107,17.653,-71.906
107,17.652,-71.902
107.01,17.65,-71.899
107.02,17.649,-71.895
107.03,17.648,-71.892
107.03,17.647,-71.888
107.04,17.645,-71.885
107.05,17.644,-71.881
107.06,17.643,-71.878
107.06,17.642,-71.874
107.07,17.64,-71.871
107.08,17.639,-71.867
107.09,17.638,-71.864
107.09,17.637,-71.86
107.1,17.635,-71.857
107.11,17.634,-71.853
107.12,17.633,-71.85
107.12,17.632,-71.846
107.13,17.63,-71.843
107.14,17.629,-71.839
107.14,17.628,-71.836
107.15,17.627,-71.832
107.16,17.625,-71.828
107.17,17.624,-71.825
107.17,17.623,-71.821
107.18,17.622,-71.818
107.19,17.62,-71.814
107.2,17.619,-71.811
107.2,17.618,-71.807
107.21,17.617,-71.804
107.22,17.615,-71.8
107.23,17.614,-71.797
107.23,17.613,-71.793
107.24,17.612,-71.79
107.25,17.61,-71.786
107.26,17.609,-71.783
107.26,17.608,-71.779
107.27,17.607,-71.776
107.28,17.605,-71.772
107.29,17.604,-71.769
107.29,17.603,-71.765
107.3,17.602,-71.762
107.31,17.601,-71.758
107.31,17.599,-71.755
107.32,17.598,-71.751
107.33,17.597,-71.748
107.34,17.596,-71.744
107.34,17.594,-71.741
107.35,17.593,-71.737
107.36,17.592,-71.734
107.37,17.591,-71.73
107.37,17.589,-71.727
107.38,17.588,-71.723
107.39,17.587,-71.72
107.4,17.586,-71.716
107.4,17.584,-71.712
107.41,17.583,-71.709
107.42,17.582,-71.705
107.43,17.581,-71.702
107.43,17.579,-71.698
107.44,17.578,-71.695
107.45,17.577,-71.691
107.46,17.576,-71.688
107.46,17.574,-71.684
107.47,17.573,-71.681
107.48,17.572,-71.677
107.49,17.571,-71.674
107.49,17.57,-71.67
107.5,17.568,-71.667
107.51,17.567,-71.663
107.52,17.566,-71.66
107.52,17.565,-71.656
107.53,17.563,-71.653
107.54,17.562,-71.649
107.55,17.561,-71.646
107.55,17.56,-71.642
107.56,17.558,-71.639
107.57,17.557,-71.635
107.57,17.556,-71.632
107.58,17.555,-71.628
107.59,17.553,-71.624
107.6,17.552,-71.621
107.6,17.551,-71.617
107.61,17.55,-71.614
107.62,17.548,-71.61
107.63,17.547,-71.607
107.63,17.546,-71.603
107.64,17.545,-71.6
107.65,17.544,-71.596
107.66,17.542,-71.593
107.66,17.541,-71.589
107.67,17.54,-71.586
107.68,17.539,-71.582
107.69,17.537,-71.579
107.69,17.536,-71.575
107.7,17.535,-71.572
