w,g1,f1
105.25,17.899,-72.591
105.26,17.898,-72.588
105.27,17.897,-72.584
105.27,17.895,-72.581
105.28,17.894,-72.577
105.29,17.893,-72.574
105.3,17.892,-72.57
105.3,17.89,-72.567
105.31,17.889,-72.563
105.32,17.888,-72.56
105.32,17.886,-72.557
105.33,17.885,-72.553
105.34,17.884,-72.55
105.35,17.883,-72.546
105.35,17.881,-72.543
105.36,17.88,-72.539
105.37,17.879,-72.536
105.38,17.877,-72.532
105.38,17.876,-72.529
105.39,17.875,-72.525
105.4,17.874,-72.522
105.4,17.872,-72.518
105.41,17.871,-72.515
105.42,17.87,-72.511
105.43,17.869,-72.508
105.43,17.867,-72.504
105.44,17.866,-72.501
105.45,17.865,-72.497
105.46,17.863,-72.494
105.46,17.862,-72.49
105.47,17.861,-72.487
105.48,17.86,-72.483
105.48,17.858,-72.48
105.49,17.857,-72.476
105.5,17.856,-72.473
105.51,17.854,-72.469
105.51,17.853,-72.466
105.52,17.852,-72.462
105.53,17.851,-72.459
105.54,17.849,-72.456
105.54,17.848,-72.452
105.55,17.847,-72.449
105.56,17.846,-72.445
105.57,17.844,-72.442
105.57,17.843,-72.438
105.58,17.842,-72.435
105.59,17.84,-72.431
105.59,17.839,-72.428
105.6,17.838,-72.424
105.61,17.837,-72.421
105.62,17.835,-72.417
105.62,17.834,-72.414
105.63,17.833,-72.41
105.64,17.832,-72.407
105.65,17.83,-72.403
105.65,17.829,-72.4
105.66,17.828,-72.396
105.67,17.826,-72.393
105.67,17.825,-72.389
105.68,17.824,-72.386
105.69,17.823,-72.382
105.7,17.821,-72.379
105.7,17.82,-72.375
105.71,17.819,-72.372
105.72,17.818,-72.368
105.73,17.816,-72.365
105.73,17.815,-72.361
105.74,17.814,-72.358
105.75,17.812,-72.354
105.75,17.811,-72.351
105.76,17.81,-72.347
105.77,17.809,-72.344
105.78,17.807,-72.34
105.78,17.806,-72.337
105.79,17.805,-72.333
105.8,17.804,-72.33
105.81,17.802,-72.326
105.81,17.801,-72.323
105.82,17.8,-72.319
105.83,17.799,-72.316
105.84,17.797,-72.312
105.84,17.796,-72.309
105.85,17.795,-72.305
105.86,17.793,-72.302
105.86,17.792,-72.298
105.87,17.791,-72.295
105.88,17.79,-72.291
105.89,17.788,-72.288
105.89,17.787,-72.284
105.9,17.786,-72.281
105.91,17.785,-72.277
105.92,17.783,-72.274
105.92,17.782,-72.271
105.93,17.781,-72.267
105.94,17.779,-72.264
105.94,17.778,-72.26
105.95,17.777,-72.257
105.96,17.776,-72.253
105.97,17.774,-72.25
105.97,17.773,-72.246
105.98,17.772,-72.243
105.99,17.771,-72.239
106,17.769,-72.236
106,17.768,-72.232
106.01,17.767,-72.229
106.02,17.766,-72.225
106.03,17.764,-72.222
106.03,17.763,-72.218
106.04,17.762,-72.215
106.05,17.761,-72.211
106.05,17.759,-72.208
106.06,17.758,-72.204
106.07,17.757,-72.201
106.08,17.755,-72.197
106.08,17.754,-72.194
106.09,17.753,-72.19
106.1,17.752,-72.187
106.11,17.75,-72.183
106.11,17.749,-72.18
106.12,17.748,-72.176
106.13,17.747,-72.173
106.14,17.745,-72.169
106.14,17.744,-72.166
106.15,17.743,-72.162
106.16,17.742,-72.159
106.16,17.74,-72.155
106.17,17.739,-72.152
106.18,17.738,-72.148
106.19,17.737,-72.145
106.19,17.735,-72.141
106.2,17.734,-72.137
106.21,17.733,-72.134
106.22,17.731,-72.13
106.22,17.73,-72.127
106.23,17.729,-72.123
106.24,17.728,-72.12
106.25,17.726,-72.116
106.25,17.725,-72.113
106.26,17.724,-72.109
106.27,17.723,-72.106
106.27,17.721,-72.102
106.28,17.72,-72.099
106.29,17.719,-72.095
106.3,17.718,-72.092
106.3,17.716,-72.088
106.31,17.715,-72.085
106.32,17.714,-72.081
106.33,17.713,-72.078
106.33,17.711,-72.074
106.34,17.71,-72.071
106.35,17.709,-72.067
106.36,17.708,-72.064
106.36,17.706,-72.06
106.37,17.705,-72.057
106.38,17.704,-72.053
106.38,17.703,-72.05
106.39,17.701,-72.046
106.4,17.7,-72.043
106.41,17.699,-72.039
106.41,17.698,-72.036
106.42,17.696,-72.032
106.43,17.695,-72.029
106.44,17.694,-72.025
106.44,17.693,-72.022
106.45,17.691,-72.018
106.46,17.69,-72.015
106.47,17.689,-72.011
106.47,17.687,-72.008
106.48,17.686,-72.004
106.49,17.685,-72.001
106.5,17.684,-71.997
106.5,17.682,-71.994
106.51,17.681,-71.99
106.52,17.68,-71.987
106.52,17.679,-71.983
106.53,17.677,-71.98
106.54,17.676,-71.976
106.55,17.675,-71.973
106.55,17.674,-71.969
106.56,17.672,-71.966
106.57,17.671,-71.962
106.58,17.67,-71.959
106.58,17.669,-71.955
106.59,17.667,-71.952
106.6,17.666,-71.948
106.61,17.665,-71.944
106.61,17.664,-71.941
106.62,17.662,-71.937
106.63,17.661,-71.934
106.64,17.66,-71.93
106.64,17.659,-71.927
106.65,17.657,-71.923
106.66,17.656,-71.92
106.66,17.655,-71.916
106.67,17.654,-71.913
106.68,17.652,-71.909
106.69,17.651,-71.906
106.69,17.65,-71.902
106.7,17.649,-71.899
106.71,17.647,-71.895
106.72,17.646,-71.892
106.72,17.645,-71.888
106.73,17.644,-71.885
106.74,17.642,-71.881
106.75,17.641,-71.878
106.75,17.64,-71.874
106.76,17.639,-71.871
106.77,17.637,-71.867
106.78,17.636,-71.864
106.78,17.635,-71.86
106.79,17.634,-71.857
106.8,17.632,-71.853
106.8,17.631,-71.849
106.81,17.63,-71.846
106.82,17.629,-71.842
106.83,17.627,-71.839
106.83,17.626,-71.835
106.84,17.625,-71.832
106.85,17.624,-71.828
106.86,17.622,-71.825
106.86,17.621,-71.821
106.87,17.62,-71.818
106.88,17.619,-71.814
106.89,17.617,-71.811
106.89,17.616,-71.807
106.9,17.615,-71.804
106.91,17.614,-71.8
106.92,17.613,-71.797
106.92,17.611,-71.793
106.93,17.61,-71.79
106.94,17.609,-71.786
106.94,17.608,-71.783
106.95,17.606,-71.779
106.96,17.605,-71.776
106.97,17.604,-71.772
106.97,17.603,-71.768
106.98,17.601,-71.765
106.99,17.6,-71.761
107,17.599,-71.758
107,17.598,-71.754
107.01,17.596,-71.751
107.02,17.595,-71.747
107.03,17.594,-71.744
107.03,17.593,-71.74
107.04,17.591,-71.737
107.05,17.59,-71.733
107.06,17.589,-71.73
107.06,17.588,-71.726
107.07,17.586,-71.723
107.08,17.585,-71.719
107.09,17.584,-71.716
107.09,17.583,-71.712
107.1,17.581,-71.709
107.11,17.58,-71.705
107.12,17.579,-71.701
107.12,17.578,-71.698
107.13,17.576,-71.694
107.14,17.575,-71.691
107.14,17.574,-71.687
107.15,17.573,-71.684
107.16,17.572,-71.68
107.17,17.57,-71.677
107.17,17.569,-71.673
107.18,17.568,-71.67
107.19,17.567,-71.666
107.2,17.565,-71.663
107.2,17.564,-71.659
107.21,17.563,-71.656
107.22,17.562,-71.652
107.23,17.56,-71.649
107.23,17.559,-71.645
107.24,17.558,-71.641
107.25,17.557,-71.638
107.26,17.555,-71.634
107.26,17.554,-71.631
107.27,17.553,-71.627
107.28,17.552,-71.624
107.29,17.55,-71.62
107.29,17.549,-71.617
107.3,17.548,-71.613
107.31,17.547,-71.61
107.31,17.546,-71.606
107.32,17.544,-71.603
107.33,17.543,-71.599
107.34,17.542,-71.595
107.34,17.541,-71.592
107.35,17.539,-71.588
107.36,17.538,-71.585
107.37,17.537,-71.581
107.37,17.536,-71.578
107.38,17.534,-71.574
107.39,17.533,-71.571
107.4,17.532,-71.567
107.4,17.531,-71.564
107.41,17.529,-71.56
107.42,17.528,-71.557
107.43,17.527,-71.553
107.43,17.526,-71.55
107.44,17.525,-71.546
107.45,17.523,-71.542
107.46,17.522,-71.539
107.46,17.521,-71.535
107.47,17.52,-71.532
107.48,17.518,-71.528
107.49,17.517,-71.525
107.49,17.516,-71.521
107.5,17.515,-71.518
107.51,17.513,-71.514
107.52,17.512,-71.511
107.52,17.511,-71.507
107.53,17.51,-71.504
107.54,17.509,-71.5
107.55,17.507,-71.496
107.55,17.506,-71.493
107.56,17.505,-71.489
107.57,17.504,-71.486
107.57,17.502,-71.482
107.58,17.501,-71.479
107.59,17.5,-71.475
107.6,17.499,-71.472
107.6,17.497,-71.468
107.61,17.496,-71.465
107.62,17.495,-71.461
107.63,17.494,-71.457
107.63,17.493,-71.454
107.64,17.491,-71.45
107.65,17.49,-71.447
107.66,17.489,-71.443
107.66,17.488,-71.44
107.67,17.486,-71.436
107.68,17.485,-71.433
107.69,17.484,-71.429
107.69,17.483,-71.426
107.7,17.481,-71.422
